timesteps,td_error
500,0.006174982525408268
1000,0.008172216825187206
1500,0.005643986165523529
2000,0.020673850551247597
2500,0.019808342680335045
3000,0.02523789554834366
3500,0.02087385579943657
4000,0.02536167949438095
4500,0.0280730240046978
5000,0.031218580901622772
5500,0.05204562097787857
6000,0.023915518075227737
6500,0.043555695563554764
7000,0.04012694209814072
7500,0.04935161769390106
8000,0.031054995954036713
8500,0.026044420897960663
9000,0.033343587070703506
9500,0.02391134575009346
10000,0.032967645674943924
10500,0.01245044730603695
11000,0.04130050539970398
11500,0.009652435779571533
12000,0.02349504828453064
12500,0.020543646067380905
13000,0.03453940898180008
13500,0.02062900923192501
14000,0.022870562970638275
14500,0.020857488736510277
15000,0.018209390342235565
15500,0.02476181834936142
16000,0.022270578891038895
16500,0.026887962594628334
17000,0.01703605242073536
17500,0.023340445011854172
18000,0.01976655423641205
18500,0.019052201882004738
19000,0.021886758506298065
19500,0.01756953075528145
20000,0.02342207357287407
20500,0.021824397146701813
21000,0.012393142096698284
21500,0.01706063188612461
22000,0.018358025699853897
22500,0.022180894389748573
23000,0.01737387850880623
23500,0.018150582909584045
24000,0.027854956686496735
24500,0.022623036056756973
25000,0.019457709044218063
25500,0.015823688358068466
26000,0.01713530160486698
26500,0.025669367983937263
27000,0.018579300493001938
27500,0.019547276198863983
28000,0.016606416553258896
28500,0.01771979033946991
29000,0.019442660734057426
29500,0.017663782462477684
30000,0.019488394260406494
30500,0.020241595804691315
31000,0.016368957236409187
31500,0.016710512340068817
32000,0.021028658375144005
32500,0.017352338880300522
33000,0.018938865512609482
33500,0.017043359577655792
34000,0.02067096158862114
34500,0.01977335661649704
35000,0.018614377826452255
35500,0.017336726188659668
36000,0.01596328616142273
36500,0.022057045251131058
37000,0.016933627426624298
37500,0.017779987305402756
38000,0.0201241597533226
38500,0.0212247334420681
39000,0.017636865377426147
39500,0.0201155636459589
40000,0.019078487530350685
40500,0.024586884304881096
41000,0.01941395178437233
41500,0.020672140643000603
42000,0.018606502562761307
42500,0.01868210919201374
43000,0.024189287796616554
43500,0.0196513868868351
44000,0.019962836056947708
44500,0.014896359294652939
45000,0.018249358981847763
45500,0.014137652702629566
46000,0.014427786692976952
46500,0.015054693445563316
47000,0.015154626220464706
47500,0.015779104083776474
48000,0.020953234285116196
48500,0.016649320721626282
49000,0.015561750158667564
49500,0.01766626350581646
50000,0.01706080511212349
50500,0.02159889042377472
51000,0.02173870988190174
51500,0.017777681350708008
52000,0.01870715245604515
52500,0.015114807523787022
53000,0.024014074355363846
53500,0.018106872215867043
54000,0.02869429811835289
54500,0.018887408077716827
55000,0.019275380298495293
55500,0.020704440772533417
56000,0.0253461804240942
56500,0.017145052552223206
57000,0.024515904486179352
57500,0.02006176859140396
58000,0.016871418803930283
58500,0.021510601043701172
59000,0.019911207258701324
59500,0.018451014533638954
60000,0.016470102593302727
60500,0.020130924880504608
61000,0.015981100499629974
61500,0.021606173366308212
62000,0.0173201747238636
62500,0.018546447157859802
63000,0.034622177481651306
63500,0.01739555224776268
64000,0.018485844135284424
64500,0.016609571874141693
65000,0.01510448008775711
65500,0.012688701041042805
66000,0.01871267706155777
66500,0.019468793645501137
67000,0.016837917268276215
67500,0.016878455877304077
68000,0.01738932728767395
68500,0.01746242865920067
69000,0.0194537453353405
69500,0.018809165805578232
70000,0.01833276078104973
70500,0.019907210022211075
71000,0.022110596299171448
71500,0.016757192090153694
72000,0.01945817470550537
72500,0.0183350071310997
73000,0.01828414388000965
73500,0.018714560195803642
74000,0.022583557292819023
74500,0.021171484142541885
75000,0.036144956946372986
75500,0.019303038716316223
76000,0.016779806464910507
76500,0.02516726404428482
77000,0.0242130346596241
77500,0.017275385558605194
78000,0.017089230939745903
78500,0.022994274273514748
79000,0.014989255927503109
79500,0.014767087064683437
80000,0.02238738164305687
80500,0.017821267247200012
81000,0.023117627948522568
81500,0.0193804744631052
82000,0.021150927990674973
82500,0.01402493566274643
83000,0.02042528986930847
83500,0.018933117389678955
84000,0.01938120648264885
84500,0.01840272918343544
85000,0.016758225858211517
85500,0.01837923936545849
86000,0.017060868442058563
86500,0.01573856920003891
87000,0.01650603488087654
87500,0.01544944941997528
88000,0.020146634429693222
88500,0.018968980759382248
89000,0.01709170825779438
89500,0.015573669224977493
90000,0.016405008733272552
90500,0.019224412739276886
91000,0.019390933215618134
91500,0.02210133895277977
92000,0.014693337492644787
92500,0.021561771631240845
93000,0.01692071557044983
93500,0.01643400266766548
94000,0.01668151281774044
94500,0.021388724446296692
95000,0.016609501093626022
95500,0.018897786736488342
96000,0.0184866264462471
96500,0.020681152120232582
97000,0.019532781094312668
97500,0.0152646005153656
98000,0.01818092167377472
98500,0.0149883097037673
99000,0.018198855221271515
99500,0.02065276727080345
100000,0.0185200497508049
100500,0.016030801460146904
101000,0.021532127633690834
101500,0.02122443914413452
102000,0.021385692059993744
102500,0.02199297770857811
103000,0.014649812132120132
103500,0.01964205503463745
104000,0.018054284155368805
104500,0.027749041095376015
105000,0.015301221050322056
105500,0.015542401932179928
106000,0.01734633930027485
106500,0.01855551451444626
107000,0.01947292685508728
107500,0.01735284924507141
108000,0.01482141949236393
108500,0.02020079270005226
109000,0.019516438245773315
109500,0.01940220035612583
110000,0.017358101904392242
110500,0.01911693625152111
111000,0.02501179650425911
111500,0.0162971131503582
112000,0.016922377049922943
112500,0.020504895597696304
113000,0.022541314363479614
113500,0.01873406022787094
114000,0.02227444387972355
114500,0.015842141583561897
115000,0.01618780940771103
115500,0.018534580245614052
116000,0.019580096006393433
116500,0.020136669278144836
117000,0.01909557357430458
117500,0.01711951196193695
118000,0.019013874232769012
118500,0.02229965105652809
119000,0.01936378888785839
119500,0.020189952105283737
120000,0.01960635930299759
120500,0.020317334681749344
121000,0.015281914733350277
121500,0.02471918985247612
122000,0.02038152888417244
122500,0.017858602106571198
123000,0.01704924926161766
123500,0.01803676038980484
124000,0.01659378409385681
124500,0.017423950135707855
125000,0.014553368091583252
125500,0.0182904414832592
126000,0.018197286874055862
126500,0.020596269518136978
127000,0.021163824945688248
127500,0.02087542973458767
128000,0.018493887037038803
128500,0.027613818645477295
129000,0.028418119996786118
129500,0.023616354912519455
130000,0.020224332809448242
130500,0.021468378603458405
131000,0.02394186705350876
131500,0.018761008977890015
132000,0.02253519371151924
132500,0.015322393737733364
133000,0.02073247730731964
133500,0.02183261141180992
134000,0.019278764724731445
134500,0.01952328532934189
135000,0.02256901189684868
135500,0.023155178874731064
136000,0.018682528287172318
136500,0.022648237645626068
137000,0.020997904241085052
137500,0.016849443316459656
138000,0.01766117475926876
138500,0.022201374173164368
139000,0.019012760370969772
139500,0.01893017068505287
140000,0.018960757181048393
140500,0.01800033077597618
141000,0.02021969109773636
141500,0.01915769837796688
142000,0.016948221251368523
142500,0.019246147945523262
143000,0.024838887155056
143500,0.023013826459646225
144000,0.020314205437898636
144500,0.021836405619978905
145000,0.015239196829497814
145500,0.01964670792222023
146000,0.023015212267637253
146500,0.019953187555074692
147000,0.019108012318611145
147500,0.02145465649664402
148000,0.01649138145148754
148500,0.0178243238478899
149000,0.02094748616218567
149500,0.017359603196382523
150000,0.02001975290477276
150500,0.02197643555700779
151000,0.01697857677936554
151500,0.0184580497443676
152000,0.021649137139320374
152500,0.017701448872685432
153000,0.020479395985603333
153500,0.0188387930393219
154000,0.01750102825462818
154500,0.017568029463291168
155000,0.018938399851322174
155500,0.016778182238340378
156000,0.015303748659789562
156500,0.0162566676735878
157000,0.015747323632240295
157500,0.01583958975970745
158000,0.016237910836935043
158500,0.01813087984919548
159000,0.016874121502041817
159500,0.01845984160900116
160000,0.018918704241514206
160500,0.023573141545057297
161000,0.026636403053998947
161500,0.015281898900866508
162000,0.020462151616811752
162500,0.02229202166199684
163000,0.02024812251329422
163500,0.017786316573619843
164000,0.02649460732936859
164500,0.025693390518426895
165000,0.018211398273706436
165500,0.018503228202462196
166000,0.02113151177763939
166500,0.018383508548140526
167000,0.016222268342971802
167500,0.018057003617286682
168000,0.017382727935910225
168500,0.018428392708301544
169000,0.015524898655712605
169500,0.020337214693427086
170000,0.023452550172805786
170500,0.015895314514636993
171000,0.021277450025081635
171500,0.01926913484930992
172000,0.017020968720316887
172500,0.018950894474983215
173000,0.024124277755618095
173500,0.017180975526571274
174000,0.021442627534270287
174500,0.024138111621141434
175000,0.017351578921079636
175500,0.022832605987787247
176000,0.020903080701828003
176500,0.022906983271241188
177000,0.02247224748134613
177500,0.013930341228842735
178000,0.018002323806285858
178500,0.021568922325968742
179000,0.01835738867521286
179500,0.01955394074320793
180000,0.01815146952867508
180500,0.01795380748808384
181000,0.018220610916614532
181500,0.018216721713542938
182000,0.017804771661758423
182500,0.022441575303673744
183000,0.018522676080465317
183500,0.018998924642801285
184000,0.017600247636437416
184500,0.02227282151579857
185000,0.022447876632213593
185500,0.0190681591629982
186000,0.02037007547914982
186500,0.02136613242328167
187000,0.021203888580203056
187500,0.0223265141248703
188000,0.022170476615428925
188500,0.017007917165756226
189000,0.018373947590589523
189500,0.0225323885679245
190000,0.018590297549962997
190500,0.0257585309445858
191000,0.019737428054213524
191500,0.01928812824189663
192000,0.018496055155992508
192500,0.015863757580518723
193000,0.021702971309423447
193500,0.020458973944187164
194000,0.022869987413287163
194500,0.016928721219301224
195000,0.01730990782380104
195500,0.018519528210163116
196000,0.0183570496737957
196500,0.02048492804169655
197000,0.019607676193118095
197500,0.023148711770772934
198000,0.02476693131029606
198500,0.02180873230099678
199000,0.020280877128243446
199500,0.022160734981298447
200000,0.029702680185437202
