timesteps,td_error
500,0.006525922100991011
1000,0.005978252273052931
1500,0.0051440224051475525
2000,0.009131470695137978
2500,0.0055740331299602985
3000,0.006795157212764025
3500,0.010917654260993004
4000,0.008780606091022491
4500,0.01332777924835682
5000,0.0170302577316761
5500,0.01750139705836773
6000,0.0161427054554224
6500,0.03559473156929016
7000,0.05244046077132225
7500,0.024195032194256783
8000,0.02926725707948208
8500,0.025184903293848038
9000,0.025157010182738304
9500,0.044971294701099396
10000,0.049610286951065063
10500,0.05242902785539627
11000,0.0629035234451294
11500,0.049628738313913345
12000,0.04211251437664032
12500,0.04318175092339516
13000,0.040198080241680145
13500,0.033546753227710724
14000,0.028052080422639847
14500,0.07410150021314621
15000,0.037815161049366
15500,0.05015919357538223
16000,0.040747642517089844
16500,0.04720676317811012
17000,0.030766181647777557
17500,0.04038803651928902
18000,0.03455226868391037
18500,0.030123228207230568
19000,0.029221560806035995
19500,0.03796527162194252
20000,0.030509846284985542
20500,0.028842445462942123
21000,0.02062883786857128
21500,0.023355117067694664
22000,0.017746619880199432
22500,0.017461737617850304
23000,0.0308726467192173
23500,0.03191515803337097
24000,0.01615365408360958
24500,0.013838820159435272
25000,0.0176662839949131
25500,0.01672673039138317
26000,0.018958404660224915
26500,0.041293829679489136
27000,0.025778017938137054
27500,0.018788106739521027
28000,0.023519081994891167
28500,0.017171936109662056
29000,0.01627345383167267
29500,0.017411811277270317
30000,0.020698577165603638
30500,0.02225375548005104
31000,0.020814640447497368
31500,0.021446948871016502
32000,0.023385927081108093
32500,0.02344248630106449
33000,0.025682616978883743
33500,0.028058387339115143
34000,0.020648598670959473
34500,0.02083033137023449
35000,0.020684733986854553
35500,0.0197586789727211
36000,0.022838549688458443
36500,0.02166786789894104
37000,0.020605485886335373
37500,0.019905343651771545
38000,0.01913662999868393
38500,0.022542264312505722
39000,0.02175993099808693
39500,0.02601093426346779
40000,0.03209562599658966
40500,0.0240061953663826
41000,0.019009718671441078
41500,0.02410268411040306
42000,0.022782132029533386
42500,0.017064571380615234
43000,0.02895895019173622
43500,0.0259832963347435
44000,0.030533960089087486
44500,0.018390901386737823
45000,0.024053461849689484
45500,0.01843782514333725
46000,0.020894017070531845
46500,0.02352122589945793
47000,0.024518197402358055
47500,0.021796779707074165
48000,0.021696044132113457
48500,0.01950749382376671
49000,0.020953034982085228
49500,0.023426195606589317
50000,0.018278080970048904
50500,0.02388114109635353
51000,0.025054533034563065
51500,0.020263642072677612
52000,0.01517803966999054
52500,0.02065706066787243
53000,0.015971552580595016
53500,0.02300228551030159
54000,0.02076582796871662
54500,0.02123348042368889
55000,0.020511087030172348
55500,0.028993681073188782
56000,0.022327732294797897
56500,0.029522448778152466
57000,0.023554325103759766
57500,0.019959552213549614
58000,0.028048112988471985
58500,0.017695942893624306
59000,0.020727451890707016
59500,0.017066575586795807
60000,0.017738958820700645
60500,0.014436934143304825
61000,0.021847449243068695
61500,0.022672584280371666
62000,0.01963132619857788
62500,0.015157395042479038
63000,0.017514729872345924
63500,0.019908741116523743
64000,0.019456561654806137
64500,0.02123582549393177
65000,0.03569706901907921
65500,0.021389804780483246
66000,0.01749921776354313
66500,0.021176563575863838
67000,0.019724830985069275
67500,0.01570248231291771
68000,0.01722564920783043
68500,0.01973005384206772
69000,0.021675121039152145
69500,0.017509564757347107
70000,0.01907268911600113
70500,0.019302263855934143
71000,0.019623450934886932
71500,0.01908370479941368
72000,0.02421194314956665
72500,0.016592949628829956
73000,0.023369161412119865
73500,0.019956592470407486
74000,0.02246372401714325
74500,0.023178942501544952
75000,0.02204655483365059
75500,0.017918307334184647
76000,0.021680660545825958
76500,0.01843123510479927
77000,0.015335606411099434
77500,0.025596054270863533
78000,0.01739591360092163
78500,0.021455535665154457
79000,0.016318898648023605
79500,0.017157776281237602
80000,0.01585175096988678
80500,0.022432049736380577
81000,0.018614964559674263
81500,0.02115645259618759
82000,0.018659140914678574
82500,0.017647789791226387
83000,0.01950894109904766
83500,0.023676656186580658
84000,0.021167434751987457
84500,0.020419001579284668
85000,0.018642844632267952
85500,0.016699835658073425
86000,0.015618075616657734
86500,0.019381165504455566
87000,0.016714870929718018
87500,0.019763238728046417
88000,0.017129771411418915
88500,0.020287439227104187
89000,0.019148170948028564
89500,0.018701523542404175
90000,0.019852280616760254
90500,0.019164785742759705
91000,0.015913013368844986
91500,0.016247887164354324
92000,0.015569872222840786
92500,0.018384821712970734
93000,0.019468996673822403
93500,0.01456267200410366
94000,0.016811277717351913
94500,0.019837558269500732
95000,0.025772307068109512
95500,0.020782403647899628
96000,0.016003292053937912
96500,0.018351636826992035
97000,0.02343490719795227
97500,0.026106271892786026
98000,0.023507457226514816
98500,0.024824293330311775
99000,0.023304691538214684
99500,0.020237717777490616
100000,0.017980918288230896
100500,0.021325675770640373
101000,0.019972968846559525
101500,0.01925760507583618
102000,0.02192584052681923
102500,0.020937688648700714
103000,0.020652268081903458
103500,0.016382534056901932
104000,0.01856032758951187
104500,0.021318305283784866
105000,0.01628979668021202
105500,0.019495580345392227
106000,0.026861514896154404
106500,0.019519280642271042
107000,0.01938536763191223
107500,0.01785622164607048
108000,0.018712779507040977
108500,0.021500233560800552
109000,0.017858289182186127
109500,0.020521491765975952
110000,0.019440148025751114
110500,0.01911817491054535
111000,0.02196122147142887
111500,0.018192410469055176
112000,0.014189678244292736
112500,0.02061661332845688
113000,0.021378107368946075
