timesteps,td_error
500,0.010265596210956573
1000,0.011905422434210777
1500,0.006598207168281078
2000,0.006270458921790123
2500,0.0050628636963665485
3000,0.005840863101184368
3500,0.00917976163327694
4000,0.005598158575594425
4500,0.006340899504721165
5000,0.013696789741516113
5500,0.011481798253953457
6000,0.00822352059185505
6500,0.013102623634040356
7000,0.008924033492803574
7500,0.008342479355633259
8000,0.010254022665321827
8500,0.013070015236735344
9000,0.009774938225746155
9500,0.018649080768227577
10000,0.0298728309571743
10500,0.02424992248415947
11000,0.032951720058918
11500,0.030864493921399117
12000,0.025199074298143387
12500,0.04491439089179039
13000,0.03200644254684448
13500,0.045333050191402435
14000,0.03052475117146969
14500,0.026825832203030586
15000,0.03164556249976158
15500,0.03431147709488869
16000,0.03538452461361885
16500,0.0297221876680851
17000,0.031568534672260284
17500,0.031094644218683243
18000,0.02372059039771557
18500,0.027160750702023506
19000,0.029007893055677414
19500,0.028128162026405334
20000,0.023254116997122765
20500,0.020816463977098465
21000,0.030918464064598083
21500,0.025951262563467026
22000,0.031108487397432327
22500,0.017547303810715675
23000,0.014348365366458893
23500,0.02745392918586731
24000,0.02157221920788288
24500,0.020108429715037346
25000,0.023176642134785652
25500,0.02666740119457245
26000,0.029590629041194916
26500,0.01710917428135872
27000,0.01612006314098835
27500,0.019073031842708588
28000,0.026035208255052567
28500,0.027202831581234932
29000,0.02380695380270481
29500,0.019058428704738617
30000,0.018945958465337753
30500,0.022475820034742355
31000,0.02275441586971283
31500,0.02584581822156906
32000,0.020496558398008347
32500,0.02252516895532608
33000,0.017323050647974014
33500,0.019534364342689514
34000,0.02165725827217102
34500,0.01840769127011299
35000,0.01617758348584175
35500,0.018849670886993408
36000,0.018147477880120277
36500,0.02658567950129509
37000,0.02104342170059681
37500,0.019162680953741074
38000,0.017874455079436302
38500,0.030059609562158585
39000,0.022429943084716797
39500,0.015300541184842587
40000,0.020701605826616287
40500,0.022059446200728416
41000,0.015993453562259674
41500,0.01804676651954651
42000,0.021085454151034355
42500,0.022951487451791763
