timesteps,td_error
500,0.004771688487380743
1000,0.005067120306193829
1500,0.0029957126826047897
2000,0.0032745609059929848
2500,0.0033459446858614683
3000,0.0015552444383502007
3500,0.0030961825978010893
4000,0.0029857312329113483
4500,0.0046985093504190445
5000,0.0029517346993088722
5500,0.002300811232998967
6000,0.0027543348260223866
6500,0.005915958434343338
7000,0.004293152131140232
7500,0.007525168359279633
8000,0.003969425335526466
8500,0.010610035620629787
9000,0.007184959016740322
9500,0.014504313468933105
10000,0.008751282468438148
10500,0.0190759114921093
11000,0.018041525036096573
11500,0.021826909855008125
12000,0.02665020525455475
12500,0.026968225836753845
13000,0.03402441367506981
13500,0.019730698317289352
14000,0.039264559745788574
14500,0.019153110682964325
15000,0.021735696122050285
15500,0.028132574632763863
16000,0.021726753562688828
16500,0.035059455782175064
17000,0.026171673089265823
17500,0.01718868687748909
18000,0.029106920585036278
18500,0.020788928493857384
19000,0.02782091684639454
19500,0.023637017235159874
20000,0.024315474554896355
20500,0.023022282868623734
21000,0.01886291801929474
21500,0.046301547437906265
22000,0.016897346824407578
22500,0.03392362967133522
23000,0.02596699632704258
23500,0.030100824311375618
24000,0.02417409047484398
24500,0.024751052260398865
25000,0.01764664798974991
25500,0.020491667091846466
26000,0.019870132207870483
26500,0.023898348212242126
27000,0.021776042878627777
27500,0.03067396581172943
28000,0.02300575003027916
28500,0.021523550152778625
29000,0.024522382766008377
29500,0.020290175452828407
30000,0.019110362976789474
30500,0.019155889749526978
31000,0.018269304186105728
31500,0.020451374351978302
32000,0.019065389409661293
32500,0.015674401074647903
33000,0.02839689329266548
33500,0.015523386187851429
34000,0.021088870242238045
34500,0.018354229629039764
35000,0.019553296267986298
35500,0.020413147285580635
36000,0.018415026366710663
36500,0.020070604979991913
37000,0.01609708182513714
37500,0.020318783819675446
38000,0.02100837044417858
38500,0.019355539232492447
39000,0.026595287024974823
39500,0.01947374828159809
40000,0.016128435730934143
40500,0.01874745637178421
41000,0.019231438636779785
41500,0.0176618080586195
42000,0.017620038241147995
42500,0.016985241323709488
43000,0.016549324616789818
43500,0.01685553416609764
44000,0.02387748286128044
44500,0.0165473073720932
45000,0.018667399883270264
45500,0.017817392945289612
46000,0.018812356516718864
46500,0.02087901346385479
47000,0.015025782398879528
47500,0.02137894369661808
48000,0.02000124752521515
48500,0.01849629357457161
49000,0.018635133281350136
49500,0.01962118037045002
50000,0.02123095467686653
50500,0.018256783485412598
51000,0.021247882395982742
51500,0.031263500452041626
52000,0.0175023190677166
52500,0.022869668900966644
53000,0.020172832533717155
53500,0.015429725870490074
54000,0.021715451031923294
54500,0.01786614954471588
55000,0.019207794219255447
55500,0.01915724202990532
56000,0.021777350455522537
56500,0.017816640436649323
57000,0.01850813254714012
57500,0.02044418640434742
58000,0.020287323743104935
58500,0.02433909848332405
59000,0.029983777552843094
59500,0.019189974293112755
60000,0.01623842865228653
60500,0.01754019409418106
61000,0.025387026369571686
61500,0.022190919145941734
62000,0.023821044713258743
62500,0.018827762454748154
63000,0.02257726900279522
63500,0.018288658931851387
64000,0.026893990114331245
64500,0.016861703246831894
65000,0.0214533731341362
65500,0.019917592406272888
66000,0.019101906567811966
66500,0.01790192909538746
67000,0.019105207175016403
67500,0.02272449992597103
68000,0.018373457714915276
68500,0.01928679272532463
69000,0.025043487548828125
69500,0.0175838153809309
70000,0.01877155900001526
70500,0.020702581852674484
71000,0.027667207643389702
71500,0.01521796640008688
72000,0.018168210983276367
72500,0.013410594314336777
73000,0.018228475004434586
73500,0.0202625785022974
74000,0.01783033087849617
74500,0.01700274460017681
75000,0.014677075669169426
75500,0.018574878573417664
76000,0.015793442726135254
76500,0.015830082818865776
77000,0.02780839614570141
77500,0.018699519336223602
78000,0.020098529756069183
78500,0.02441025897860527
79000,0.018115833401679993
79500,0.020369399338960648
80000,0.01763911172747612
80500,0.01621181145310402
81000,0.021726299077272415
81500,0.02245006337761879
82000,0.016761448234319687
82500,0.015501594170928001
83000,0.025545787066221237
83500,0.0198335163295269
84000,0.01964503526687622
84500,0.02099340781569481
85000,0.01709754765033722
85500,0.022579200565814972
86000,0.02177491784095764
86500,0.017637521028518677
87000,0.018603675067424774
87500,0.01848468743264675
88000,0.01912591978907585
88500,0.01830923929810524
89000,0.01852102391421795
89500,0.023769233375787735
